cross_val,kfold,n_trees,accuracy,class_bad_recall,class_good_recall,mean_recall,class_bad_precision,class_good_precision,mean_precision,class_bad_F1,class_good_F1,mean_F1
5,5,200,0.76,0.6363636363636364,0.7948717948717948,0.7156177156177156,0.4666666666666667,0.8857142857142857,0.6761904761904762,0.5384615384615385,0.8378378378378378,0.6881496881496882
5,6,200,0.74,0.6666666666666666,0.75,0.7083333333333333,0.26666666666666666,0.9428571428571428,0.6047619047619047,0.3809523809523809,0.8354430379746834,0.6081977094635321
5,7,200,0.7,0.5,0.7325581395348837,0.6162790697674418,0.23333333333333334,0.9,0.5666666666666667,0.3181818181818182,0.8076923076923077,0.5629370629370629
5,8,200,0.77,0.6666666666666666,0.7974683544303798,0.7320675105485233,0.4666666666666667,0.9,0.6833333333333333,0.5490196078431373,0.8456375838926175,0.6973285958678774
5,9,200,0.71,0.5714285714285714,0.7204301075268817,0.6459293394777266,0.13333333333333333,0.9571428571428572,0.5452380952380953,0.21621621621621623,0.8220858895705523,0.5191510528933843
5,10,200,0.75,0.6470588235294118,0.7710843373493976,0.7090715804394048,0.36666666666666664,0.9142857142857143,0.6404761904761904,0.46808510638297873,0.8366013071895425,0.6523432067862607
6,1,200,0.7,0.5,0.7439024390243902,0.6219512195121951,0.3,0.8714285714285714,0.5857142857142857,0.37499999999999994,0.8026315789473685,0.5888157894736842
6,2,200,0.79,0.7647058823529411,0.7951807228915663,0.7799433026222538,0.43333333333333335,0.9428571428571428,0.6880952380952381,0.5531914893617021,0.8627450980392157,0.707968293700459
6,3,200,0.77,0.8888888888888888,0.7582417582417582,0.8235653235653235,0.26666666666666666,0.9857142857142858,0.6261904761904762,0.41025641025641024,0.8571428571428571,0.6336996336996337
6,4,200,0.79,0.7647058823529411,0.7951807228915663,0.7799433026222538,0.43333333333333335,0.9428571428571428,0.6880952380952381,0.5531914893617021,0.8627450980392157,0.707968293700459
6,5,200,0.76,0.7142857142857143,0.7674418604651163,0.7408637873754154,0.3333333333333333,0.9428571428571428,0.638095238095238,0.4545454545454545,0.8461538461538461,0.6503496503496503
6,6,200,0.79,0.7647058823529411,0.7951807228915663,0.7799433026222538,0.43333333333333335,0.9428571428571428,0.6880952380952381,0.5531914893617021,0.8627450980392157,0.707968293700459
6,7,200,0.75,0.6666666666666666,0.7647058823529411,0.7156862745098038,0.3333333333333333,0.9285714285714286,0.6309523809523809,0.4444444444444444,0.8387096774193549,0.6415770609318996
6,8,200,0.79,0.7368421052631579,0.8024691358024691,0.7696556205328136,0.4666666666666667,0.9285714285714286,0.6976190476190476,0.5714285714285714,0.8609271523178809,0.7161778618732262
6,9,200,0.73,0.6,0.7529411764705882,0.6764705882352942,0.3,0.9142857142857143,0.6071428571428571,0.4,0.8258064516129033,0.6129032258064517
6,10,200,0.69,0.45454545454545453,0.7191011235955056,0.5868232890704801,0.16666666666666666,0.9142857142857143,0.5404761904761904,0.2439024390243902,0.8050314465408805,0.5244669427826354
7,1,200,0.74,0.6428571428571429,0.7558139534883721,0.6993355481727574,0.3,0.9285714285714286,0.6142857142857143,0.4090909090909091,0.8333333333333334,0.6212121212121212
7,2,200,0.8,0.7777777777777778,0.8048780487804879,0.7913279132791329,0.4666666666666667,0.9428571428571428,0.7047619047619047,0.5833333333333334,0.868421052631579,0.7258771929824561
7,3,200,0.7,0.5,0.7439024390243902,0.6219512195121951,0.3,0.8714285714285714,0.5857142857142857,0.37499999999999994,0.8026315789473685,0.5888157894736842
7,4,200,0.75,0.6470588235294118,0.7710843373493976,0.7090715804394048,0.36666666666666664,0.9142857142857143,0.6404761904761904,0.46808510638297873,0.8366013071895425,0.6523432067862607
7,5,200,0.77,0.6666666666666666,0.7974683544303798,0.7320675105485233,0.4666666666666667,0.9,0.6833333333333333,0.5490196078431373,0.8456375838926175,0.6973285958678774
7,6,200,0.75,0.6470588235294118,0.7710843373493976,0.7090715804394048,0.36666666666666664,0.9142857142857143,0.6404761904761904,0.46808510638297873,0.8366013071895425,0.6523432067862607
